時間戳記,請問您的性別是：,您的年齡：,教育程度（學歷） , 請問您的職業是:,居住地區：,請問您每月平均所得為?,請問您每月平均支出為? ,請問您曾經使用過防曬商品嗎?,"(呈上題) 針對選到 ""一直有使用"" 或 ""曾經使用過"" 者
請問您使用防曬商品多久時間了?","(呈上題) 針對選到 ""一直有使用"" 或 ""曾經使用過"" 者
請問您使用防曬商品的頻率?",請問您最常使用哪些防曬商品?,請問您使用過哪些ANESSA 安耐曬商品?,購買意願 [1.	未來我有意願購買ANESSA 安耐曬商品。],購買意願 [2.	我會考慮購買ANESSA 安耐曬商品是。],購買意願 [3.	我願意向他人推薦購買ANESSA 安耐曬商品],品質價值 [1.	ANESSA 安耐曬商品具有一致的品質。],品質價值 [2.	ANESSA 安耐曬商品製作過程良好。],品質價值 [3.	ANESSA 安耐曬商品品質達到可接受的標準。],品質價值 [4.	ANESSA 安耐曬商品品質良好。],品質價值 [5.	ANESSA 安耐曬商品持久耐用。],品質價值 [6.	ANESSA 安耐曬商品產品品質穩定],情緒價值 [1.	ANESSA 安耐曬商品讓我感到享受的產品。],情緒價值 [2.	ANESSA 安耐曬商品會讓我產生想要使用的感覺。],情緒價值 [3.	使用ANESSA 安耐曬商品會讓我感到放鬆。],情緒價值 [4.	ANESSA 安耐曬商品會讓我感覺良好。],情緒價值 [5.	ANESSA 安耐曬商品會帶給我愉悅的感受。],價格價值 [1.	ANESSA 安耐曬商品的價格是合理的。],價格價值 [2.	ANESSA 安耐曬商品具有物有所值的特性。],價格價值 [3.	以這個價格來說，ANESSA 安耐曬商品是不錯的產品。],價格價值 [4.	ANESSA 安耐曬商品具有CP值。],社會價值 [1.	ANESSA 安耐曬商品有助於讓我感到被他人接納。],社會價值 [2.	ANESSA 安耐曬商品能改善他人對我的看法。],社會價值 [3.	ANESSA 安耐曬商品能使我在人際互動中留下良好印象。],社會價值 [4.	擁有ANESSA 安耐曬商品能讓人獲得社會上的認可。],網路口碑 [1.	對我而言，消費者網路上對ANESSA 安耐曬商品評論非常重要。],網路口碑 [2.	我會特別搜尋網路上ANESSA 安耐曬商品 的相關資訊。],網路口碑 [3.	網路上對ANESSA 安耐曬商品評論會對我的購買決策有關鍵性的影響。],網路口碑 [4.	網路上對ANESSA 安耐曬商品評論，有助於我更準確地判斷產品的品質。],網路口碑 [5.	網路上對ANESSA 安耐曬商品評論，在我的決策過程中扮演重要角色。],整體而言，您是否會購買ANESSA 安耐曬金鑽高效防曬露  ？ ,"(呈上題) 針對選到 ""會購買"" 者
請問您願意花費多少錢購買此產品?"
2025/5/13 上午 11:34:27,男,18-25歲,碩士,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,七個月以上一次,防曬乳液 (Sunscreen Lotion),水嫩寶貝敏感肌防曬凝膠,非常不同意,不同意,不同意,普通,普通,普通,普通,普通,普通,不同意,不同意,不同意,普通,普通,同意,普通,同意,同意,不同意,不同意,不同意,不同意,同意,不同意,非常同意,同意,同意,不會,300元-500元
2025/5/13 上午 11:39:39,男,18-25歲,碩士,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直使用,6年以上,五到七天一次,"防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,不會,300元-500元
2025/5/13 上午 11:41:47,男,18-25歲,碩士,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$40,001-60,000元",曾經使用過,3個月以下,七個月以上一次,防曬乳液 (Sunscreen Lotion),水嫩寶貝敏感肌防曬凝膠,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,不會,小於300
2025/5/13 上午 11:41:55,男,18-25歲,碩士,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,七個月以上一次,防曬凝膠 (Sunscreen Gel),輕親柔光敏感肌防曬露NA,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,普通,同意,普通,普通,不同意,不同意,不同意,不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,不會,701元-900元
2025/5/13 上午 11:42:27,女,41-45歲,大學/大專,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$70,001-90,000元","$40,001-60,000元",沒有使用過,3個月以下,七個月以上一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,不會,小於300
2025/5/13 上午 11:44:14,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直使用,5-6年,兩到三天一次,"防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",輕親柔光敏感肌防曬露NA,非常不同意,非常不同意,非常不同意,非常不同意,同意,同意,同意,同意,同意,普通,普通,同意,普通,普通,不同意,不同意,不同意,不同意,非常不同意,不同意,非常不同意,非常不同意,同意,同意,同意,非常同意,非常同意,不會,300元-500元
2025/5/13 上午 11:44:39,女,26-30歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",一直使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray), 防曬粉 (Sunscreen Powder)",金鑽高效防曬露NA（5X版）,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,701元-900元
2025/5/13 上午 11:46:15,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,七個月以上一次,防曬乳液 (Sunscreen Lotion),曬後淨白修復精華（夜用）,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,非常不同意,不會,小於300
2025/5/13 上午 11:48:51,女,18-25歲,碩士,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直使用,6年以上,兩到三天一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通,同意,同意,非常同意,普通,非常同意,非常同意,不同意,普通,普通,普通,同意,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,501元-700元
2025/5/13 上午 11:50:01,女,41-45歲,大學/大專,服務業,南部（嘉義、台南、高雄、屏東）,"$90,001-110,000元","$40,001-60,000元",一直使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)",金鑽高效防曬露NA（5X版）,同意,同意,普通,普通,同意,同意,同意,普通,同意,同意,同意,普通,同意,普通,同意,同意,同意,同意,同意,普通,普通,普通,同意,同意,同意,同意,同意,會,501元-700元
2025/5/13 上午 11:51:31,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,6年以上,七個月以上一次,"防曬乳液 (Sunscreen Lotion), 防曬噴霧 (Sunscreen Spray)",輕親柔光敏感肌防曬露NA,非常同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,普通,同意,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,不會,
2025/5/13 上午 11:52:06,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",曾經使用過,3個月以下,四到六個月一次,防曬噴霧 (Sunscreen Spray),金鑽高效水感防曬凝膠NA,同意,同意,普通,同意,同意,同意,同意,同意,同意,普通,同意,普通,同意,普通,同意,同意,同意,同意,不同意,不同意,普通,不同意,同意,同意,非常同意,非常同意,同意,會,501元-700元
2025/5/13 上午 11:52:37,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直使用,1-2 年,四到五天一次,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,普通,普通,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,普通,同意,普通,同意,同意,同意,會,300元-500元
2025/5/13 上午 11:55:42,女,36-40歲,碩士,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$50,001-70,000元","$20,000元(含)以下",沒有使用過,3個月以下,四到六個月一次,防曬噴霧 (Sunscreen Spray),金鑽高效防曬露NA（5X版）,不同意,不同意,不同意,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,同意,同意,同意,同意,不會,701元-900元
2025/5/20 上午 10:17:08,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6-12個月,四到五天一次,"防曬乳液 (Sunscreen Lotion), 防曬棒 (Sunscreen Stick)",金鑽高效防曬露NA（5X版）,同意,同意,普通,同意,同意,同意,同意,普通,普通,普通,同意,普通,普通,不同意,普通,普通,普通,不同意,不同意,非常不同意,非常不同意,非常不同意,同意,同意,非常同意,非常同意,非常同意,不會,
2025/5/20 下午 12:34:05,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,兩到三週一次,防曬乳液 (Sunscreen Lotion),"金鑽高效防曬露NA（5X版）, 輕親柔光敏感肌防曬露NA, 美光燈潤色防曬凝膠N",非常同意,非常同意,同意,同意,同意,非常同意,非常同意,非常同意,同意,非常同意,非常同意,普通,同意,普通,普通,同意,同意,同意,普通,普通,普通,不同意,普通,同意,普通,同意,不同意,不會,300元-500元
2025/5/20 下午 12:38:29,女,18-25歲,大學/大專,學生,中部（台中、彰化、南投、雲林）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,1-2 年,每天,防曬霜 (Sunscreen Cream),都沒有用過,同意,同意,同意,同意,同意,非常同意,非常同意,非常同意,非常同意,同意,同意,普通,普通,普通,普通,普通,同意,普通,普通,同意,不同意,不同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/20 下午 3:30:05,女,18-25歲,高中(職),學生,南部（嘉義、台南、高雄、屏東）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,2-3年,每天,防曬乳液 (Sunscreen Lotion),金鑽高效水感防曬凝膠NA,同意,同意,同意,同意,非常同意,同意,非常同意,非常同意,非常同意,普通,同意,同意,普通,同意,普通,普通,同意,普通,普通,不同意,普通,同意,非常同意,非常同意,非常同意,非常同意,非常同意,會,小於300
2025/5/20 下午 9:32:26,女,18-25歲,碩士,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,每天,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,普通,普通,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,普通,同意,普通,普通,普通,普通,同意,同意,同意,同意,同意,同意,會,701元-900元
2025/5/21 上午 11:00:14,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬棒 (Sunscreen Stick)",金鑽高效防曬露NA（5X版）,普通,同意,普通,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,普通,非常同意,普通,非常同意,同意,不同意,不同意,不同意,不同意,非常同意,不同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/22 上午 9:32:02,男,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,3個月以下,每天,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,同意,同意,普通,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,普通,同意,普通,同意,普通,同意,不同意,同意,同意,同意,同意,同意,同意,同意,不會,300元-500元
2025/5/22 下午 2:17:32,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,四到五天一次,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream)",金鑽高效防曬露NA（5X版）,普通,普通,普通,普通,普通,普通,普通,普通,普通,不同意,普通,普通,不同意,不同意,普通,普通,普通,不同意,非常不同意,非常不同意,非常不同意,非常不同意,同意,同意,同意,同意,同意,會,501元-700元
2025/5/22 下午 3:48:55,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,5-6年,每天,防曬乳液 (Sunscreen Lotion),"金鑽高效防曬露NA（5X版）, 金鑽高效水感防曬凝膠NA, 輕親柔光敏感肌防曬露NA",非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通,同意,非常同意,同意,非常同意,非常同意,非常同意,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/22 下午 7:54:03,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,3-4年,每天,防曬乳液 (Sunscreen Lotion),金鑽高效防曬露NA（5X版）,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,非常同意,同意,非常同意,非常同意,非常同意,同意,非常同意,同意,非常同意,非常同意,非常同意,非常同意,非常同意,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,會,501元-700元
2025/5/23 上午 8:52:52,女,36-40歲,大學/大專,自由業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",沒有使用過，未來也不會使用,,,沒有使用防曬產品,都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,會,小於300
2025/5/23 上午 9:22:39,女,18-25歲,大學/大專,學生,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,000元(含)以下","$20,000元(含)以下",一直有使用,6年以上,每天,防曬乳液 (Sunscreen Lotion),金鑽高效水感防曬凝膠NA,同意,同意,非常同意,非常同意,同意,非常同意,非常同意,非常同意,非常同意,普通,同意,普通,同意,普通,普通,同意,非常同意,非常同意,普通,普通,普通,普通,非常同意,非常同意,非常同意,非常同意,非常同意,會,300元-500元
2025/5/23 上午 9:26:08,女,36-40歲,四技五專,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬凝膠 (Sunscreen Gel), 防曬粉 (Sunscreen Powder)",都沒有用過,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,普通,同意,同意,同意,同意,同意,同意,會,501元-700元
2025/5/23 上午 9:53:37,男,36-40歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",曾經使用過,3個月以下,七個月以上一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,普通,普通,普通,普通,普通,普通,同意,普通,普通,普通,普通,普通,不會,小於300
2025/5/23 上午 9:55:08,女,31-35歲,大學/大專,服務業,北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",曾經使用過,3個月以下,兩到三個月一次,防曬乳液 (Sunscreen Lotion),都沒有用過,普通,普通,普通,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,901元-1200元
2025/5/23 上午 10:02:01,女,26-30歲,四技五專,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,000元(含)以下",曾經使用過,3個月以下,一個月一次,防曬乳液 (Sunscreen Lotion),金鑽高效水感防曬凝膠NA,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,普通,同意,同意,同意,同意,同意,同意,普通,普通,普通,普通,會,300元-500元
2025/5/23 上午 10:26:31,女,46-50歲,大學/大專,專業人員(醫生、律師、工程師等),北部（台北、新北、基隆、桃園、新竹、苗栗）,"$30,001-50,000元","$20,001-40,000元",一直有使用,6年以上,每天,"防曬乳液 (Sunscreen Lotion), 防曬霜 (Sunscreen Cream), 防曬噴霧 (Sunscreen Spray)","金鑽高效防曬露NA（5X版）, 金鑽高效水感防曬凝膠NA, 輕親柔光敏感肌防曬露NA",同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,同意,會,701元-900元
